iter	Passed	Remaining
627	1504	891
628	1506	888
629	1509	886
630	1511	883
631	1515	882
632	1517	880
633	1520	877
634	1522	875
635	1525	872
636	1527	870
637	1529	867
638	1532	865
639	1534	863
640	1536	860
641	1539	858
642	1541	855
643	1543	853
644	1546	851
645	1548	848
646	1550	846
647	1553	843
648	1555	841
649	1558	838
650	1560	836
651	1562	834
652	1565	831
653	1567	829
654	1570	826
655	1572	824
656	1575	822
657	1577	819
658	1579	817
659	1582	815
660	1584	812
661	1586	810
662	1589	807
663	1591	805
664	1594	803
665	1596	800
666	1598	798
667	1601	795
668	1603	793
669	1605	790
670	1608	788
671	1610	786
672	1612	783
673	1615	781
674	1617	778
675	1620	776
676	1622	774
677	1624	771
678	1627	769
679	1629	766
680	1631	764
681	1634	762
682	1636	759
683	1639	757
684	1641	754
685	1644	752
686	1646	750
687	1648	747
688	1652	745
689	1654	743
690	1656	740
691	1659	738
692	1661	736
693	1663	733
694	1666	731
695	1668	728
696	1670	726
697	1673	723
698	1675	721
699	1677	719
700	1681	717
701	1683	714
702	1686	712
703	1689	710
704	1691	707
705	1694	705
706	1696	703
707	1699	700
708	1701	698
709	1703	695
710	1706	693
711	1708	691
712	1711	688
713	1713	686
714	1716	684
715	1718	681
716	1720	679
717	1723	676
718	1725	674
719	1728	672
720	1730	669
721	1732	667
722	1735	664
723	1737	662
724	1739	659
725	1742	657
726	1744	655
727	1746	652
728	1749	650
729	1751	647
730	1753	645
731	1756	643
732	1758	640
733	1761	638
734	1763	635
735	1765	633
736	1768	630
737	1770	628
738	1772	626
739	1775	623
740	1777	621
741	1779	618
742	1782	616
743	1784	614
744	1787	611
745	1789	609
746	1791	606
747	1794	604
748	1796	601
749	1798	599
750	1801	597
751	1803	594
752	1805	592
753	1807	589
754	1810	587
755	1812	584
756	1814	582
757	1817	580
758	1819	577
759	1821	575
760	1824	572
761	1826	570
762	1828	568
763	1830	565
764	1833	563
765	1835	560
766	1838	558
767	1840	555
768	1842	553
769	1845	551
770	1847	548
771	1849	546
772	1852	543
773	1854	541
774	1857	539
775	1859	536
776	1861	534
777	1864	532
778	1867	529
779	1870	527
780	1872	525
781	1875	522
782	1877	520
783	1880	517
784	1882	515
785	1884	513
786	1887	510
787	1889	508
788	1891	505
789	1894	503
790	1897	501
791	1900	499
792	1902	496
793	1905	494
794	1907	491
795	1909	489
796	1912	487
797	1914	484
798	1916	482
799	1919	479
800	1921	477
801	1924	475
802	1926	472
803	1928	470
804	1931	467
805	1933	465
806	1935	462
807	1938	460
808	1940	458
809	1943	455
810	1945	453
811	1947	450
812	1950	448
813	1952	446
814	1954	443
815	1957	441
816	1959	438
817	1962	436
818	1964	434
819	1966	431
820	1969	429
821	1971	426
822	1973	424
823	1976	422
824	1978	419
825	1980	417
826	1983	414
827	1985	412
828	1988	410
829	1990	407
830	1992	405
831	1995	402
832	1997	400
833	1999	398
834	2002	395
835	2004	393
836	2007	390
837	2009	388
838	2011	386
839	2014	383
840	2016	381
841	2019	378
842	2021	376
843	2023	374
844	2026	371
845	2028	369
846	2031	366
847	2034	364
848	2036	362
849	2039	359
850	2041	357
851	2044	355
852	2046	352
853	2049	350
854	2051	347
855	2054	345
856	2056	343
857	2058	340
858	2061	338
859	2064	336
860	2067	333
861	2070	331
862	2072	328
863	2075	326
864	2077	324
865	2079	321
866	2082	319
867	2084	317
868	2086	314
869	2089	312
870	2091	309
871	2094	307
872	2096	305
873	2098	302
874	2101	300
875	2103	297
876	2105	295
877	2108	292
878	2110	290
879	2112	288
880	2115	285
881	2117	283
882	2119	280
883	2122	278
884	2124	276
885	2126	273
886	2129	271
887	2131	268
888	2133	266
889	2136	264
890	2138	261
891	2141	259
892	2143	256
893	2145	254
894	2148	252
895	2150	249
896	2152	247
897	2155	244
898	2157	242
899	2159	239
900	2162	237
901	2164	235
902	2166	232
903	2169	230
904	2171	227
905	2174	225
906	2176	223
907	2178	220
908	2181	218
909	2183	215
910	2185	213
911	2188	211
912	2190	208
913	2192	206
914	2195	203
915	2197	201
916	2200	199
917	2202	196
918	2205	194
919	2207	191
920	2209	189
921	2212	187
922	2214	184
923	2217	182
924	2219	179
925	2221	177
926	2224	175
927	2226	172
928	2228	170
929	2230	167
930	2233	165
931	2235	163
932	2237	160
933	2240	158
934	2242	155
935	2244	153
936	2248	151
937	2250	148
938	2253	146
939	2255	143
940	2258	141
941	2260	139
942	2263	136
943	2265	134
944	2267	131
945	2270	129
946	2272	127
947	2274	124
948	2278	122
949	2280	120
950	2283	117
951	2285	115
952	2288	112
953	2290	110
954	2292	108
955	2295	105
956	2297	103
957	2299	100
958	2302	98
959	2304	96
960	2307	93
961	2309	91
962	2311	88
963	2314	86
964	2316	84
965	2318	81
966	2321	79
967	2323	76
968	2326	74
969	2328	72
970	2330	69
971	2333	67
972	2335	64
973	2338	62
974	2340	60
975	2342	57
976	2345	55
977	2347	52
978	2349	50
979	2352	48
980	2354	45
981	2357	43
982	2359	40
983	2361	38
984	2364	36
985	2366	33
986	2368	31
987	2371	28
988	2373	26
989	2375	23
990	2378	21
991	2380	19
992	2383	16
993	2385	14
994	2388	12
995	2390	9
996	2393	7
997	2395	4
998	2397	2
999	2400	0
